fan_control 2025-11-12 23:14:07 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:07 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:07 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:07 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:07 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:07 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:07 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:14:48 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:48 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:48 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:48 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:48 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:48 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:48 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:16:36 - Temp: 52°C (Δ+9°C), PWM: 255
fan_control 2025-11-12 23:16:38 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:40 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:42 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:44 - Temp: 52°C (Δ+3°C), PWM: 255
fan_control 2025-11-12 23:16:46 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:48 - Temp: 50°C (Δ+2°C), PWM: 255
fan_control 2025-11-12 23:16:50 - Temp: 53°C (Δ+3°C), PWM: 255
fan_control 2025-11-12 23:16:52 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:54 - Temp: 53°C (Δ+5°C), PWM: 255
fan_control 2025-11-12 23:16:56 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:16:58 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:00 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:02 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:04 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:06 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:08 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:10 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:17:12 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:14 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:16 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:17:18 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:20 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:22 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:24 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:26 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:29 - Temp: 48°C (Δ+6°C), PWM: 255
fan_control 2025-11-12 23:17:31 - Temp: 50°C (Δ+2°C), PWM: 255
fan_control 2025-11-12 23:17:33 - Temp: 53°C (Δ+3°C), PWM: 255
fan_control 2025-11-12 23:17:35 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:17:37 - Temp: 50°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:17:39 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:17:41 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:17:43 - Temp: 50°C (Δ+2°C), PWM: 255
fan_control 2025-11-12 23:17:45 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:17:47 - Temp: 51°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:17:49 - Temp: 53°C (Δ+2°C), PWM: 255
fan_control 2025-11-12 23:17:51 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:53 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:55 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:57 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:17:59 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:01 - Temp: 44°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:18:03 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:05 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:07 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:09 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:11 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:13 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:15 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:17 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:19 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:18:21 - Temp: 52°C (Δ+9°C), PWM: 255
fan_control 2025-11-12 23:18:23 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:25 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:27 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:29 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:31 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:33 - Temp: 51°C (Δ+3°C), PWM: 255
fan_control 2025-11-12 23:18:35 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:37 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:39 - Temp: 51°C (Δ+2°C), PWM: 255
